
2024/02/28 (15:50:23) | ===> btop++ v.1.3.2
2024/02/28 (15:50:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/28 (16:14:05) | ===> btop++ v.1.3.2
2024/02/28 (16:14:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/28 (16:24:43) | ===> btop++ v.1.3.2
2024/02/28 (16:24:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (02:16:12) | ===> btop++ v.1.3.2
2024/02/29 (02:16:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (18:01:12) | ===> btop++ v.1.3.2
2024/02/29 (18:01:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (18:12:37) | ===> btop++ v.1.3.2
2024/02/29 (18:12:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (18:33:13) | ===> btop++ v.1.3.2
2024/02/29 (18:33:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (23:47:55) | ===> btop++ v.1.3.2
2024/02/29 (23:47:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/01 (18:39:10) | ===> btop++ v.1.3.2
2024/03/01 (18:39:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/03 (02:06:42) | ===> btop++ v.1.3.2
2024/03/03 (02:06:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/03 (23:49:13) | ===> btop++ v.1.3.2
2024/03/03 (23:49:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/04 (00:36:13) | ===> btop++ v.1.3.2
2024/03/04 (00:36:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/04 (00:56:24) | ===> btop++ v.1.3.2
